Link,Club,Name,Market value,Date of birth/Age,Place of birth,Citizenship,Height,Foot,Position,Player agent,Joined,Contract expires,Competition_Total_Appearances,Competition_Total_Goals,Competition_Total_Own_Goals,Competition_Total_Assists,Competition_Total_Yellow_Cards,Competition_Total_Red_Cards,Competition_Total_Substitutions_On,Competition_Total_Substitutions_Off,Competition_Total_Clean_Sheets,Competition_Total_Goals_Conceded,Competition_Total_Minutes_Played,Competition_National_Appearances,Competition_National_Goals,Competition_National_Own_Goals,Competition_National_Assists,Competition_National_Yellow_Cards,Competition_National_Red_Cards,Competition_National_Substitutions_On,Competition_National_Substitutions_Off,Competition_National_Goals_Conceded,Competition_National_Clean_Sheets,Competition_National_Minutes_Played,Competition_International_Appearances,Competition_International_Goals,Competition_International_Own_Goals,Competition_International_Assists,Competition_International_Yellow_Cards,Competition_International_Red_Cards,Competition_International_Substitutions_On,Competition_International_Substitutions_Off,Competition_International_Clean_Sheets,Competition_International_Goals_Conceded,Competition_International_Minutes_Played,Competition_Nationalcup_Appearances,Competition_Nationalcup_Goals,Competition_Nationalcup_Own_Goals,Competition_Nationalcup_Assists,Competition_Nationalcup_Yellow_Cards,Competition_Nationalcup_Red_Cards,Competition_Nationalcup_Substitutions_On,Competition_Nationalcup_Substitutions_Off,Competition_Nationalcup_Clean_Sheets,Competition_Nationalcup_Goals_Conceded,Competition_Nationalcup_Minutes_Played
https://www.transfermarkt.com//gianluigi-donnarumma/profil/spieler/315858,Manchester City,Gianluigi Donnarumma,€45.00m,25/02/1999 (26),Castellammare di Stabia,Italy,"1,96 m",right,Goalkeeper,Team Raiola,01/09/2025,30/06/2030,27,Na,Na,,6,Na,Na,Na,12,24,2.430',20,Na,Na,,5,Na,Na,Na,17,9,1.800',7,Na,Na,,1,Na,Na,Na,3,7,630',Na,Na,Na,,Na,Na,Na,Na,Na,Na,Na
https://www.transfermarkt.com//james-trafford/profil/spieler/566799,Manchester City,James Trafford,€25.00m,10/10/2002 (23),Greysouthen,England,"1,92 m",right,Goalkeeper,CAA Stellar,29/07/2025,30/06/2030,9,Na,Na,,Na,Na,Na,Na,4,8,810',3,Na,Na,,Na,Na,Na,Na,4,1,270',1,Na,Na,,Na,Na,Na,Na,Na,2,90',1,Na,Na,,Na,Na,Na,Na,Na,1,90'
https://www.transfermarkt.com//stefan-ortega/profil/spieler/85941,Manchester City,Stefan Ortega,€5.00m,06/11/1992 (33),Hofgeismar,Germany  Spain,"1,85 m",right,Goalkeeper,neblung ...,01/07/2022,30/06/2026,Na,Na,Na,,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,,Na,Na,Na,Na,Na,Na,Na,,,,,,,,,,,,,,,,,,,,,,
https://www.transfermarkt.com//marcus-bettinelli/profil/spieler/116648,Manchester City,Marcus Bettinelli,€500k,24/05/1992 (33),London,England  Italy,"1,93 m",right,Goalkeeper,Refuel Performance ...,10/06/2025,30/06/2026,Na,Na,Na,,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,,Na,Na,Na,Na,Na,Na,Na,,,,,,,,,,,
https://www.transfermarkt.com//josko-gvardiol/profil/spieler/475959,Manchester City,Josko Gvardiol,€70.00m,23/01/2002 (24),Zagreb,Croatia,"1,85 m",left,Defender - Centre-Back,Marjan Sisic,05/08/2023,30/06/2028,23,2,Na,5,2,Na,3,4,,,1.796',16,2,Na,2,2,Na,1,3,,,1.304',5,Na,Na,2,Na,Na,Na,1,,,440',,,,,,,,,,,
https://www.transfermarkt.com//ruben-dias/profil/spieler/258004,Manchester City,Rúben Dias,€60.00m,14/05/1997 (28),Amadora,Portugal,"1,87 m",right,Defender - Centre-Back,Gestifute,29/09/2020,30/06/2029,25,2,Na,Na,3,Na,2,1,,,2.077',20,2,Na,Na,2,Na,1,1,,,1.706',5,Na,Na,Na,1,Na,1,Na,,,371',,,,,,,,,,,
https://www.transfermarkt.com//marc-guehi/profil/spieler/392757,Manchester City,Marc Guéhi,€55.00m,13/07/2000 (25),Abidjan,England  Cote d'Ivoire,"1,82 m",right,Defender - Centre-Back,Unique Sports Group,19/01/2026,30/06/2031,34,3,Na,4,7,Na,1,3,,,2.922',21,2,Na,3,4,Na,Na,Na,,,1.890',,,,,,,,,,,,1,Na,Na,Na,1,Na,Na,Na,,,90'
https://www.transfermarkt.com//abdukodir-khusanov/profil/spieler/763079,Manchester City,Abdukodir Khusanov,€35.00m,29/02/2004 (21),Tashkent,Uzbekistan,"1,86 m",right,Defender - Centre-Back,Football Group LLC,20/01/2025,30/06/2029,17,Na,Na,Na,2,Na,3,4,,,1.228',9,Na,Na,Na,1,Na,3,2,,,560',4,Na,Na,Na,Na,Na,Na,1,,,335',1,Na,Na,Na,Na,Na,Na,Na,,,90'
https://www.transfermarkt.com//john-stones/profil/spieler/186590,Manchester City,John Stones,€18.00m,28/05/1994 (31),Barnsley,England,"1,88 m",right,Defender - Centre-Back,Wasserman,09/08/2016,30/06/2026,13,Na,Na,Na,Na,Na,4,3,,,813',7,Na,Na,Na,Na,Na,3,2,,,353',4,Na,Na,Na,Na,Na,Na,1,,,343',,,,,,,,,,,
https://www.transfermarkt.com//nathan-ake/profil/spieler/177476,Manchester City,Nathan Aké,€18.00m,18/02/1995 (30),Den Haag,Netherlands  Cote d'Ivoire,"1,80 m",left,Defender - Centre-Back,Wasserman,05/08/2020,30/06/2027,21,Na,Na,Na,1,Na,10,3,,,1.081',12,Na,Na,Na,1,Na,8,1,,,485',4,Na,Na,Na,Na,Na,2,Na,,,193',1,Na,Na,Na,Na,Na,Na,1,,,45'
https://www.transfermarkt.com//max-alleyne/profil/spieler/843595,Manchester City,Max Alleyne,€800k,21/07/2005 (20),Bristol,England  Barbados,"1,85 m",both,Defender - Centre-Back,ROOF,06/01/2026,-,22,1,1,Na,2,Na,2,5,,,1.735',2,Na,Na,Na,Na,Na,Na,1,,,135',1,Na,Na,Na,Na,Na,Na,Na,,,90',1,1,Na,Na,Na,Na,Na,1,,,64'
